epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3891,3.46051,3.63992,1.75262,0.01233,0.11235,0.00704,0.00195,3.00432,3.54616,1.37991,0.00012,0.00012,0.00012
2,59.6825,2.85097,3.30906,1.36275,0.066,0.60121,0.05802,0.02046,2.27041,3.41059,1.1305,0.00025571,0.00025571,0.00025571
3,85.2278,2.62273,2.77256,1.21171,0.074,0.67409,0.07043,0.02499,2.11294,3.34116,1.09802,0.0003868,0.0003868,0.0003868
4,115.556,2.5745,2.41995,1.15984,0.03533,0.32186,0.05221,0.01477,2.13683,3.22946,1.10731,0.00051327,0.00051327,0.00051327
5,148.308,2.55952,2.06852,1.175,0.05422,0.49393,0.12394,0.03533,2.13883,3.00293,1.09385,0.00063512,0.00063512,0.00063512
6,180,2.53426,1.82537,1.17448,0.06356,0.57895,0.14134,0.04357,2.18748,2.80498,1.12983,0.00075235,0.00075235,0.00075235
7,227.843,2.57049,1.74188,1.1558,0.08022,0.73077,0.19867,0.06761,2.22112,2.53809,1.16608,0.00086496,0.00086496,0.00086496
8,262.398,2.48314,1.65015,1.17182,0.07945,0.70749,0.3109,0.10492,2.36275,2.39512,1.25613,0.00097295,0.00097295,0.00097295
9,294.709,2.4903,1.65577,1.1281,0.36708,0.52024,0.40076,0.14653,2.0832,2.23118,1.11513,0.00107632,0.00107632,0.00107632
10,321.482,2.4616,1.65929,1.11881,0.50673,0.32753,0.37381,0.12477,2.17707,2.14995,1.18092,0.00117507,0.00117507,0.00117507
11,364.318,2.42689,1.61007,1.16437,0.45296,0.41093,0.39251,0.14102,2.15125,1.89822,1.1609,0.0012692,0.0012692,0.0012692
12,425.613,2.41523,1.56154,1.13187,0.47632,0.55162,0.51649,0.19018,2.02115,1.75595,1.11749,0.00135871,0.00135871,0.00135871
13,465.342,2.41942,1.61118,1.12284,0.48265,0.57884,0.52357,0.19135,2.00725,1.77545,1.10587,0.0014436,0.0014436,0.0014436
14,523.388,2.38334,1.62105,1.1422,0.51482,0.56276,0.52389,0.17986,2.01873,1.67731,1.10569,0.00152387,0.00152387,0.00152387
15,581.604,2.40141,1.53032,1.13068,0.45157,0.53441,0.48455,0.17923,2.03555,1.63446,1.10622,0.001538,0.001538,0.001538
16,648.024,2.34813,1.54646,1.13565,0.34013,0.49696,0.3148,0.10049,2.10755,1.92296,1.1163,0.001505,0.001505,0.001505
17,709.4,2.42205,1.55093,1.15669,0.22561,0.37854,0.15675,0.04931,2.29222,2.16484,1.17308,0.001472,0.001472,0.001472
18,777.525,2.35214,1.57209,1.15961,0.24245,0.3583,0.18302,0.06173,2.25921,2.14532,1.17823,0.001439,0.001439,0.001439
19,848.656,2.39932,1.54923,1.10967,0.24635,0.31781,0.19329,0.06177,2.32728,2.1774,1.20337,0.001406,0.001406,0.001406
20,915.734,2.37108,1.56784,1.13897,0.31263,0.50304,0.29434,0.10459,2.06755,1.82963,1.12405,0.001373,0.001373,0.001373
21,982.986,2.35255,1.57367,1.14769,0.31857,0.52227,0.30547,0.10314,2.07804,1.83051,1.12818,0.00134,0.00134,0.00134
22,1050.06,2.33539,1.54305,1.11651,0.35337,0.52215,0.33636,0.10766,2.18677,1.80552,1.14897,0.001307,0.001307,0.001307
23,1117.76,2.33705,1.54408,1.13746,0.5049,0.58603,0.53803,0.20389,1.98559,1.57099,1.09712,0.001274,0.001274,0.001274
24,1175.43,2.39087,1.50861,1.14253,0.49411,0.56883,0.51266,0.19998,1.99472,1.51152,1.10824,0.001241,0.001241,0.001241
25,1237.71,2.35528,1.49136,1.12987,0.46731,0.60121,0.50769,0.20578,1.95698,1.52679,1.08155,0.001208,0.001208,0.001208
26,1300.25,2.33678,1.57846,1.1074,0.3975,0.60099,0.42223,0.13964,2.05062,1.69783,1.09355,0.001175,0.001175,0.001175
27,1363.69,2.34097,1.50908,1.08995,0.52069,0.60121,0.56289,0.20876,1.9576,1.57906,1.08141,0.001142,0.001142,0.001142
28,1414.14,2.34932,1.55442,1.13995,0.53722,0.59211,0.5487,0.2039,1.98274,1.56028,1.10238,0.001109,0.001109,0.001109
29,1477.45,2.32889,1.50368,1.12959,0.5102,0.59109,0.5375,0.19928,1.9666,1.5585,1.09546,0.001076,0.001076,0.001076
30,1540.86,2.31441,1.54031,1.12517,0.32796,0.5415,0.30294,0.10871,2.06119,1.75424,1.10421,0.001043,0.001043,0.001043
31,1602.57,2.31554,1.53193,1.11084,0.36153,0.56073,0.34934,0.11668,2.06955,1.74523,1.10086,0.00101,0.00101,0.00101
32,1663.92,2.31708,1.49638,1.09815,0.49732,0.60931,0.51914,0.18099,2.00268,1.62903,1.09316,0.000977,0.000977,0.000977
33,1726.35,2.32681,1.50398,1.10991,0.54256,0.61235,0.56189,0.20161,1.96307,1.5962,1.08802,0.000944,0.000944,0.000944
34,1787.78,2.29061,1.49892,1.10449,0.56038,0.59218,0.583,0.23028,1.94016,1.50343,1.08857,0.000911,0.000911,0.000911
35,1848.98,2.28922,1.46908,1.10994,0.54321,0.59818,0.57218,0.23207,1.93252,1.43793,1.08979,0.000878,0.000878,0.000878
36,1876.36,2.27314,1.45717,1.0986,0.5464,0.60324,0.59064,0.24122,1.92833,1.4085,1.0912,0.000845,0.000845,0.000845
37,1900.39,2.26627,1.47987,1.13675,0.55765,0.57591,0.59149,0.23933,1.94813,1.39742,1.10435,0.000812,0.000812,0.000812
38,1924.91,2.27787,1.46107,1.12213,0.50481,0.53964,0.53775,0.21592,1.98332,1.43733,1.1193,0.000779,0.000779,0.000779
39,1949.55,2.30163,1.45647,1.10184,0.4614,0.58198,0.50158,0.19387,1.97107,1.4746,1.09114,0.000746,0.000746,0.000746
40,1973.97,2.29175,1.51674,1.1041,0.47258,0.61032,0.52785,0.20811,1.93989,1.48183,1.0768,0.000713,0.000713,0.000713
41,1998.43,2.24264,1.45422,1.0808,0.49959,0.60123,0.55504,0.22167,1.92502,1.46261,1.07672,0.00068,0.00068,0.00068
42,2023.36,2.24714,1.45065,1.08621,0.54399,0.57287,0.57266,0.22212,1.95659,1.43053,1.09166,0.000647,0.000647,0.000647
43,2053.65,2.25636,1.434,1.09847,0.56949,0.58911,0.60347,0.23936,1.93341,1.3835,1.09486,0.000614,0.000614,0.000614
44,2084.55,2.30002,1.44897,1.11689,0.5749,0.6083,0.60964,0.24586,1.93095,1.37585,1.09238,0.000581,0.000581,0.000581
